"Food","Origin Country","Glucose","Carbohidrate","Vitamins Contained","Price Estimate"
"Chinese Foods - Plain Fried Rice","Peru","26","133","High","3479"
"Chocolate Bar - Oh Henry","China","21","131","Low","3824"
"Cheese - Cream Cheese","China","64","247","Low","3264"
"Wine - Casablanca Valley","Nicaragua","64","275","Low","3342"
"Beef - Ox Tail, Frozen","Ukraine","5","154","Medium","3777"
"Tart Shells - Sweet, 4","China","32","372","Medium","3439"
"Lettuce - Iceberg","Argentina","4","199","Low","3117"
"Longos - Lasagna Beef","Brazil","89","238","Medium","3450"
"Vinegar - Cider","Philippines","59","343","Medium","2603"
"Beans - Fine","Czech Republic","21","163","High","3710"
"Easy Off Oven Cleaner","Bangladesh","52","370","Medium","2831"
"Pork - Chop, Frenched","China","40","364","Medium","3174"
"Lemonade - Pineapple Passion","France","62","258","Low","3224"
"Lid Coffeecup 12oz D9542b","Peru","4","111","High","3924"
"Olive - Spread Tapenade","United States","9","262","High","3783"
"Beef - Baby, Liver","Spain","79","267","Low","3132"
"Potatoes - Pei 10 Oz","Czech Republic","55","333","High","2871"
"Cheese - Mix","Indonesia","-4","155","High","3702"
"Salmon - Smoked, Sliced","Mongolia","79","296","Low","3383"
"Oregano - Fresh","Poland","28","199","Medium","3858"
"Duck - Fat","Poland","4","109","High","3868"
"Pate - Liver","France","2","172","High","3536"
"Tart Shells - Sweet, 3","Russia","32","317","Medium","3238"
"Bread - Ciabatta Buns","Kazakhstan","32","311","Medium","2902"
"Pasta - Canelloni","Russia","45","374","Medium","2587"
"Cheese - Gouda Smoked","Belarus","25","182","High","3117"
"Rum - Coconut, Malibu","Botswana","30","340","Medium","2543"
"Muffin Batt - Carrot Spice","China","80","200","Low","3246"
"Lettuce - Frisee","Portugal","42","399","Medium","2502"
"Beer - Rickards Red","Russia","75","259","Low","3481"
"Noodles - Steamed Chow Mein","Norway","74","297","Low","3237"
"Vinegar - Cider","Czech Republic","31","334","High","2733"
"Bar Mix - Pina Colada, 355 Ml","Indonesia","30","143","Medium","3900"
"Yogurt - Plain","China","27","112","High","3202"
"Wheat - Soft Kernal Of Wheat","Norway","38","365","High","3332"
"Carbonated Water - Wildberry","Netherlands","85","259","Low","3089"
"Sausage - Liver","China","75","249","Low","3009"
"Lemon Grass","Indonesia","27","168","High","4008"
"Cheese - Comtomme","Bulgaria","1","195","Medium","3980"
"Pears - Anjou","Portugal","89","286","Low","3133"
"Seedlings - Clamshell","Indonesia","29","134","High","3030"
"Egg Patty Fried","Palestinian Territory","34","327","Medium","2637"
"Wine - Vouvray Cuvee Domaine","China","42","356","Medium","3168"
"Bandage - Fexible 1x3","Yemen","71","292","Low","3292"
"Cocktail Napkin Blue","Mexico","16","154","High","3914"
"Wine - Hardys Bankside Shiraz","France","51","395","Medium","3122"
"Steampan Lid","Croatia","70","288","Low","3442"
"Bar Mix - Pina Colada, 355 Ml","South Africa","52","346","Medium","3244"
"Syrup - Golden, Lyles","France","74","188","Low","3220"
"Spaghetti Squash","Russia","87","279","Low","3065"
"Cheese - Bakers Cream Cheese","China","60","337","Medium","2967"
"Soup - Base Broth Beef","China","77","270","Low","3517"
"Oil - Grapeseed Oil","China","29","152","High","3208"
"Jerusalem Artichoke","China","67","251","Low","3372"
"Pepper - Cubanelle","Uruguay","41","390","High","2552"
"Noodles - Cellophane, Thin","China","8","103","High","3415"
"Artichoke - Bottom, Canned","China","38","120","High","3899"
"Cheese - Swiss Sliced","South Africa","52","385","Medium","3455"
"Mayonnaise","China","82","256","Low","3217"
"Fondant - Icing","China","86","229","Low","3374"
"Sauce - Sesame Thai Dressing","Poland","38","303","Medium","2901"
"Dc Hikiage Hira Huba","Portugal","49","277","Low","3097"
"Lemon Tarts","Sweden","55","316","Medium","3138"
"Sauce - Apple, Unsweetened","China","81","261","Medium","3345"
"Wine - Blue Nun Qualitatswein","Finland","32","332","High","2963"
"Food Colouring - Red","China","84","226","Low","3249"
"Shrimp - Black Tiger 16/20","Canada","54","294","Low","3246"
"Bread - Multigrain","Mexico","8","169","High","3393"
"Bag - Clear 7 Lb","Indonesia","57","239","Low","3096"
"Tuna - Bluefin","Indonesia","35","379","Medium","3101"
"Bread - Dark Rye","Indonesia","36","173","High","3146"
"Cranberry Foccacia","Panama","56","304","Medium","3107"
"Soup - Tomato Mush. Florentine","Afghanistan","64","180","Low","3261"
"Crab Meat Claw Pasteurise","Sweden","41","319","High","2794"
"Bread - Rolls, Corn","Sweden","70","215","Medium","3286"
"Ostrich - Prime Cut","Indonesia","47","319","High","3261"
"Pasta - Lasagna Noodle, Frozen","Indonesia","59","400","Medium","3230"
"Beans - Kidney White","Afghanistan","14","107","High","3112"
"Chinese Foods - Cantonese","China","60","206","Low","3253"
"Plate Pie Foil","Indonesia","30","312","Medium","2534"
"Tomatoes - Grape","Croatia","13","161","High","3200"
"Island Oasis - Magarita Mix","Japan","74","221","Low","3429"
"French Pastry - Mini Chocolate","Indonesia","8","119","Medium","3937"
"Ham - Smoked, Bone - In","Indonesia","18","172","High","3064"
"Lettuce - Curly Endive","Estonia","10","120","Low","3179"
"Yoplait Drink","United States","77","205","Low","3145"
"Scallops - 10/20","China","55","324","Medium","2758"
"Anisette - Mcguiness","Brazil","51","253","Low","3658"
"Shrimp - Black Tiger 26/30","Mexico","59","341","High","2324"
"Jolt Cola - Red Eye","Portugal","56","343","High","2936"
"Tomatoes - Plum, Canned","Japan","64","326","Medium","3118"
"Fish - Atlantic Salmon, Cold","Vietnam","45","389","High","2928"
"Southern Comfort","China","45","363","Medium","2770"
"Sauce - Alfredo","Brazil","11","176","High","3876"
"Food Colouring - Green","Portugal","12","101","High","3900"
"Pepper - Red Thai","Colombia","5","169","High","3772"
"Beef Wellington","Sweden","46","330","Medium","2519"
"Yogurt - Assorted Pack","Indonesia","72","253","Low","3077"
"Wine - White, Chardonnay","China","5","126","High","3521"
"Jameson - Irish Whiskey","Syria","80","264","Low","3499"
"Bread - Crusty Italian Poly","Indonesia","4","198","High","3267"
"Bread - Rye","France","24","140","High","3650"
"Wine - Red, Black Opal Shiraz","Brazil","65","250","Low","3499"
"Cup - 4oz Translucent","Brazil","7","132","High","3831"
"Figs","Netherlands","69","284","Low","3348"
"Muffin Hinge Container 6","Philippines","87","300","Low","3358"
"Juice - Ocean Spray Kiwi","Philippines","55","358","Medium","2734"
"Sausage - Blood Pudding","Indonesia","47","302","Medium","3162"
"Mustard - Individual Pkg","Iran","40","306","Medium","3289"
"Seedlings - Buckwheat, Organic","Indonesia","15","62","High","3720"
"Sour Puss Raspberry","Morocco","30","121","High","3505"
"Venison - Striploin","China","62","254","Low","3359"
"Shiro Miso","Finland","50","300","Medium","3065"
"Bagelers - Cinn / Brown","Morocco","48","329","Medium","3263"
"Lettuce - Lolla Rosa","France","81","215","Low","3230"
"Quail - Jumbo","Poland","87","268","Low","3237"
"Muffin Orange Individual","China","20","167","High","3469"
"Pasta - Elbows, Macaroni, Dry","Portugal","35","372","Medium","3023"
"Wine - Vineland Estate Semi - Dry","Portugal","40","316","High","3206"
"Garlic Powder","France","58","374","Medium","2696"
"Stainless Steel Cleaner Vision","South Korea","27","178","High","3563"
"Smoked Tongue","Australia","56","357","Medium","2735"
"Nut - Almond, Blanched, Sliced","Japan","34","379","Medium","3321"
"Pepper - Black, Crushed","Italy","30","310","Medium","3330"
"Wine - Chenin Blanc K.w.v.","Myanmar","51","315","Medium","2625"
"Pepper - Green Thai","Portugal","42","368","Medium","2740"
"Aspic - Light","Argentina","44","321","Medium","2643"
"Chicken - Base","Germany","50","297","Medium","3392"
"Sole - Dover, Whole, Fresh","Chile","58","364","Medium","2622"
"Artichoke - Fresh","Indonesia","90","210","Low","3294"
"Tuna - Canned, Flaked, Light","China","20","241","High","3180"
"Onions - White","Russia","54","313","Medium","3236"
"Cheese - Marble","Philippines","32","321","High","3109"
"Flavouring - Rum","China","71","279","Low","3432"
"Juice - Cranberry 284ml","China","53","371","Medium","3477"
"Squash - Pepper","Indonesia","86","258","Low","3149"
"Chevril","South Africa","25","70","High","3600"
"Pepper - Yellow Bell","Indonesia","42","352","Medium","3268"
"Onions - White","Czech Republic","4","162","High","3666"
"Duck - Legs","Poland","81","228","Low","3258"
"Rye Special Old","Colombia","28","114","High","3856"
"Whmis - Spray Bottle Trigger","Russia","53","352","Low","3062"
"Vermouth - White, Cinzano","France","88","275","Medium","3313"
"Flower - Daisies","Poland","21","238","High","3718"
"Island Oasis - Magarita Mix","Philippines","60","393","High","3088"
"Wine - Mondavi Coastal Private","Cuba","15","126","High","3939"
"Venison - Liver","China","79","205","Low","3102"
"Buffalo - Tenderloin","Russia","82","210","Low","3307"
"Table Cloth 72x144 White","Brazil","8","145","High","3778"
"Couscous","Indonesia","22","184","High","4177"
"Chocolate - Dark Callets","Yemen","31","319","Medium","3302"
"Veal - Provimi Inside","Albania","24","152","High","3713"
"Seaweed Green Sheets","China","3","137","High","3123"
"Sauce - Mint","China","2","111","Medium","3467"
"Soup - Campbells Broccoli","China","15","134","High","3075"
"Wine - Prem Select Charddonany","Indonesia","47","308","Low","3310"
"Muffin Mix - Blueberry","Indonesia","15","155","Low","3635"
"Wine - Trimbach Pinot Blanc","Cameroon","65","205","Low","3455"
"Bay Leaf Ground","Vietnam","89","261","Low","3226"
"Laundry - Bag Cloth","United States","51","298","Medium","3194"
"Oysters - Smoked","Ukraine","43","402","High","2525"
"Veal - Bones","Japan","60","288","Medium","2811"
"Sea Urchin","Philippines","43","338","Medium","2536"
"Chinese Foods - Chicken","Russia","65","259","High","3254"
"Plate Foam Laminated 9in Blk","Honduras","70","241","Low","3257"
"Pickles - Gherkins","Russia","68","221","Low","3363"
"Pepper - Sorrano","Senegal","30","302","Medium","3254"
"Wine - Vidal Icewine Magnotta","China","12","110","High","3229"
"Coke - Diet, 355 Ml","Canada","52","341","Medium","3122"
"Canada Dry","Indonesia","19","154","High","3471"
"Oats Large Flake","Nigeria","32","392","Medium","2837"
"Nantuket Peach Orange","Malaysia","2","106","High","3875"
"Cheese - Victor Et Berthold","China","78","265","Low","3339"
"Beer - Labatt Blue","Costa Rica","4","168","High","3120"
"Veal - Brisket, Provimi,bnls","France","20","377","Medium","2526"
"Wine - Ej Gallo Sonoma","Maldives","34","312","Low","3450"
"Wine - Casablanca Valley","Afghanistan","18","174","High","3447"
"Venison - Liver","Libya","36","352","Medium","2616"
"Veal - Shank, Pieces","Russia","26","117","Low","3450"
"Vodka - Moskovskaya","China","64","275","Low","3259"
"Sachet","France","27","191","High","3595"
"Bread - Mini Hamburger Bun","China","47","327","Medium","3347"
"Sauce - Caesar Dressing","Sweden","85","212","High","3259"
"Ecolab - Mikroklene 4/4 L","France","82","279","High","3289"
"Compound - Rum","Estonia","31","344","Medium","3045"
"Country Roll","Japan","26","189","High","3541"
"Bread - English Muffin","Japan","74","271","Low","3082"
"Triple Sec - Mcguinness","Peru","78","279","Medium","3188"
"Table Cloth 62x120 Colour","China","83","240","Medium","3194"
"Chivas Regal - 12 Year Old","Peru","54","379","Medium","2891"
"White Baguette","Philippines","6","134","High","3414"
"Ice Cream - Life Savers","Philippines","3","113","Medium","3487"
"Wine - Red, Mouton Cadet","Madagascar","46","396","High","2854"
"Ginsing - Fresh","Japan","90","277","Low","3478"
"Honey - Comb","Togo","66","264","Low","3293"
"Wasabi Powder","Philippines","35","326","Medium","2972"
"Shiratamako - Rice Flour","Iran","12","105","High","3882"
"Spice - Paprika","Brazil","30","131","High","3230"
"Bamboo Shoots - Sliced","Colombia","21","173","High","3226"
"Pepper - Green, Chili","Burkina Faso","74","203","Low","3328"
"Nantucket - Kiwi Berry Cktl.","China","86","200","Low","3250"
"Toamtoes 6x7 Select","China","78","249","Low","3180"
"Wine - Masi Valpolocell","Russia","40","386","Medium","3350"
"Cafe Royale","China","55","396","Medium","2877"
"Wine - Niagara,vqa Reisling","Chile","60","289","Low","3289"
"Cotton Wet Mop 16 Oz","Canada","14","343","Medium","2780"
"Fennel","Moldova","90","204","Medium","3231"
"Veal - Sweetbread","Ukraine","3","142","High","3076"
"Pineapple - Canned, Rings","Burkina Faso","23","186","High","3724"
"Lettuce - Iceberg","Poland","3","116","High","3301"
"Flour - Teff","Argentina","71","229","Low","3217"
"Wine - Sauvignon Blanc Oyster","Macedonia","56","149","High","3859"
"Chivas Regal - 12 Year Old","Mexico","85","251","Low","3463"
"Cookie Double Choco","Indonesia","48","325","Medium","2756"
"Water - Green Tea Refresher","Egypt","37","321","Medium","2791"
"Onions - Dried, Chopped","Spain","40","369","Medium","2697"
"Napkin Colour","China","60","256","High","3493"
"Mushroom - Shitake, Fresh","China","32","335","Medium","2603"
"Nut - Almond, Blanched, Whole","South Africa","79","225","Low","3251"
"Cranberry Foccacia","Guatemala","52","306","Medium","2520"
"Steampan - Lid For Half Size","France","-14","160","High","3174"
"Tarragon - Primerba, Paste","Ukraine","105","292","Medium","3035"
"Carbonated Water - White Grape","Portugal","16","71","High","3650"
"Mushrooms - Honey","Poland","88","216","Low","3140"
"Cardamon Seed / Pod","China","26","103","High","3166"
"Water - Spring 1.5lit","Russia","89","293","Medium","3311"
"Macaroons - Homestyle Two Bit","Indonesia","5","168","High","3282"
"Chicken - Soup Base","United States","32","425","Medium","2534"
"Apple - Delicious, Red","France","56","340","Medium","3368"
"Table Cloth 62x114 Colour","United States","48","334","Medium","3262"
"Island Oasis - Mango Daiquiri","U.S. Virgin Islands","9","125","High","3938"
"Chicken - Base","Norway","55","327","Medium","2637"
"Ice - Clear, 300 Lb For Carving","China","22","166","High","3310"
"Sour Puss Raspberry","United States","53","218","High","3003"
"Tea - Decaf Lipton","Indonesia","78","375","Medium","3179"
"Lamb Rack Frenched Australian","France","32","306","High","2689"
"Huck Towels White","Croatia","26","158","High","3295"
"Cheese - Roquefort Pappillon","Bulgaria","6","142","High","3383"
"Raspberries - Frozen","Dominican Republic","68","299","Low","3272"
"Tea - Herbal I Love Lemon","China","66","300","Medium","3357"
"Curry Powder","Indonesia","42","306","Low","3292"
"Onions - Cippolini","Canada","30","151","High","3857"
"Figs","Ukraine","17","177","High","3303"
"Shrimp - Baby, Cold Water","Sweden","77","209","High","3130"
"Thyme - Fresh","Peru","70","277","Low","3415"
"Wine - Barolo Fontanafredda","Czech Republic","56","335","Medium","2782"
"Coffee - Decaffeinato Coffee","Brazil","54","342","Medium","2872"
"Onions - White","Philippines","57","338","Medium","2560"
"Olives - Stuffed","Sweden","44","337","High","3270"
"Basil - Fresh","Indonesia","45","311","Medium","2968"
"Pepsi, 355 Ml","Zambia","6","112","High","3751"
"Bread Bowl Plain","Russia","21","195","High","3681"
"Horseradish - Prepared","China","86","292","Low","3002"
"Truffle Cups - Red","Portugal","75","132","Low","3305"
"Sauce - Plum","Bolivia","33","357","Medium","2538"
"Canada Dry","France","16","159","Low","3225"
"Pepsi, 355 Ml","Ghana","69","143","Low","3326"
"Tuna - Yellowfin","Brazil","42","373","Medium","3011"
"Wiberg Super Cure","Mexico","27","194","Medium","3239"
"Limes","China","43","325","Medium","2691"
"Phyllo Dough","Russia","76","235","Low","3355"
"Beer - Labatt Blue","Philippines","46","370","High","3448"
"Squash - Butternut","Gambia","16","155","High","3519"
"Yams","China","35","394","Medium","3068"
"Pork Salted Bellies","United States","105","205","Low","3430"
"Lettuce - Romaine, Heart","Sweden","68","391","Medium","3078"
"Venison - Ground","Moldova","6","37","High","3148"
"Wine - Sauvignon Blanc Oyster","Sweden","23","200","High","3508"
"Butter Balls Salted","Indonesia","88","335","Low","3470"
"Coffee - Dark Roast","Portugal","87","284","Low","3252"
"Wine - Red, Concha Y Toro","Comoros","30","344","Medium","2923"
"Veal - Brisket, Provimi,bnls","Haiti","89","233","Low","3145"
"Truffle - Whole Black Peeled","Bangladesh","7","78","High","3222"
"Appetizer - Seafood Assortment","Afghanistan","19","112","High","3897"
"Pepper - Chili Powder","Japan","10","160","High","3251"
"Tortillas - Flour, 12","China","26","179","Medium","3621"
"Sole - Dover, Whole, Fresh","Greece","34","277","Low","3207"
"Scampi Tail","Indonesia","15","146","Medium","3945"
"Peach - Fresh","Ukraine","90","286","Low","3214"
"Pastry - Key Limepoppy Seed Tea","Syria","30","379","Low","3434"
"Lamb - Whole Head Off","Afghanistan","83","238","Low","3244"
"Flax Seed","Thailand","89","254","Medium","3420"
"Oregano - Dry, Rubbed","China","63","236","Low","3155"
"Extract - Lemon","Cameroon","4","143","High","4134"
"Breakfast Quesadillas","Guatemala","22","189","High","3693"
"Soup Campbells - Italian Wedding","Indonesia","32","297","Low","2738"
"Tart Shells - Savory, 4","China","-26","110","Medium","3107"
"Versatainer Nc - 9388","Philippines","78","287","Low","3269"
"Sesame Seed","Spain","47","355","Low","2628"
"Red Cod Fillets - 225g","Uzbekistan","69","280","Low","3483"
"Dawn Professionl Pot And Pan","China","37","397","Medium","2581"
"Gelatine Leaves - Envelopes","Greece","12","188","High","3655"
"Cheese - Shred Cheddar / Mozza","Russia","37","370","Medium","3376"
"Lemonade - Pineapple Passion","Cameroon","12","147","High","3285"
"Coffee - Frthy Coffee Crisp","Peru","81","213","Low","3303"
"Shallots","Portugal","84","231","Low","3470"
"Chinese Foods - Thick Noodles","Pakistan","76","292","Low","3203"
"Beef - Kobe Striploin","Haiti","78","276","Low","3193"
"Swiss Chard","Brazil","68","211","Low","3239"
"Grouper - Fresh","Philippines","27","133","High","3103"
"Milk - Chocolate 500ml","China","70","228","Low","3415"
"Grenadillo","China","29","130","High","3252"
"Cup - 3.5oz, Foam","Mauritius","15","135","High","3010"
"Sobe - Lizard Fuel","Indonesia","44","366","Medium","3492"
"Raspberries - Fresh","Bulgaria","12","145","Medium","3588"
"Lamb - Whole Head Off,nz","Portugal","1","178","High","3535"
"Arizona - Green Tea","Ukraine","43","320","Medium","3482"
"Dry Ice","Sweden","72","217","Low","3496"
"Appetiser - Bought","China","48","359","Medium","3447"
"Crackers Cheez It","Argentina","43","331","Medium","2586"
"Crab - Soft Shell","Philippines","62","288","Low","3378"
"Salt - Table","China","10","90","High","3581"
"Cheese - Parmigiano Reggiano","Marshall Islands","37","350","Medium","3420"
"Glass Clear 8 Oz","China","44","308","Medium","2897"
"Sage - Ground","Russia","1","177","High","3975"
"Peas Snow","Portugal","9","159","High","3139"
"Bread - English Muffin","Indonesia","4","173","High","3513"
"Beef - Ox Tongue, Pickled","Indonesia","62","279","High","3032"
"Flour - Strong","Philippines","4","135","High","3856"
"Onion - Dried","Portugal","83","206","Low","3143"
"Lamb - Racks, Frenched","China","13","186","High","3122"
"The Pop Shoppe - Grape","Argentina","63","227","Low","3160"
"Sesame Seed","Iraq","25","190","High","3788"
"Truffle Cups - Red","Russia","48","383","Medium","3305"
"Soup - Campbells Broccoli","Serbia","24","128","High","3083"
"Irish Cream - Baileys","Lesotho","37","380","Medium","2987"
"Jam - Blackberry, 20 Ml Jar","China","21","179","High","3782"
"Salmon Atl.whole 8 - 10 Lb","Argentina","31","381","High","2713"
"Seedlings - Clamshell","Svalbard and Jan Mayen","11","153","High","3238"
"Lemonade - Pineapple Passion","Russia","70","238","Low","3383"
"Cheese - Goat With Herbs","Bulgaria","11","105","High","4291"
"Energy Drink - Redbull 355ml","U.S. Virgin Islands","47","373","Medium","2785"
"Vacuum Bags 12x16","China","27","126","High","3352"
"Tomatoes - Grape","Vietnam","19","64","High","3232"
"Lettuce - Spring Mix","Canada","68","249","Medium","3311"
"Lettuce - Lambs Mash","Indonesia","33","342","Medium","2680"
"Lotus Rootlets - Canned","Brazil","69","332","Low","3467"
"Salmon - Smoked, Sliced","Poland","72","224","Low","3763"
"Wine - Red, Metus Rose","France","75","218","Low","3366"
"Mushroom - Crimini","France","33","389","Medium","2617"
"Pernod","Mongolia","41","313","Medium","3387"
"Kellogs Cereal In A Cup","France","20","170","High","3967"
"Pork - Back, Long Cut, Boneless","Indonesia","87","307","Low","2528"
"Wine - Peller Estates Late","France","19","186","High","4049"
"Pork - Backfat","China","70","296","Low","3229"
"Swiss Chard","Pakistan","60","221","Low","3151"
"Chambord Royal","Azerbaijan","52","355","Low","2644"
"Soup - Campbells, Lentil","Indonesia","60","365","Medium","3485"
"Tea - Vanilla Chai","China","60","320","Medium","3366"
"Lettuce - Sea / Sea Asparagus","Jamaica","52","304","Medium","2534"
"Pasta - Shells, Medium, Dry","Canada","35","360","Medium","3381"
"Pastry - Banana Muffin - Mini","Venezuela","16","174","High","3386"
"Crackers - Soda / Saltins","Bulgaria","49","321","Medium","2930"
"Bagelers - Cinn / Brown Sugar","Japan","41","322","High","3129"
"Wine - Magnotta - Pinot Gris Sr","Ukraine","21","128","High","3826"
"Foil - Round Foil","China","2","114","High","3779"
"Pepper - Jalapeno","Canada","32","366","Medium","2516"
"Myers Planters Punch","Portugal","60","353","Medium","2835"
"Onions - Dried, Chopped","Brazil","49","329","Medium","3246"
"Flour - Semolina","France","11","108","Medium","3930"
"Slt - Individual Portions","Israel","14","180","High","3060"
"Beef - Flank Steak","France","45","310","Medium","2857"
"Carbonated Water - Orange","Honduras","83","240","Low","3370"
"Cake - Lemon Chiffon","Indonesia","87","267","Low","3455"
"Soup Campbells","Indonesia","50","270","Medium","2836"
"Cheese Cloth No 100","Brazil","101","258","Low","3124"
"Bacardi Breezer - Tropical","China","76","304","Medium","3413"
"Table Cloth 90x90 White","Czech Republic","20","159","High","3581"
"Beans - Black Bean, Dry","Brazil","60","293","Low","3177"
"Wine - Zinfandel California 2002","Iran","57","398","Medium","2696"
"Wine - Chianti Classico Riserva","Ukraine","18","128","High","3492"
"Juice - Orange 1.89l","Russia","60","397","Medium","3265"
"Fish - Artic Char, Cold Smoked","United Kingdom","66","272","Low","3037"
"Apricots - Dried","China","6","124","High","3489"
"Soup - Campbells Mushroom","China","48","343","Medium","3182"
"Rice - Long Grain","Mongolia","83","251","Low","3419"
"Oysters - Smoked","Mexico","45","327","Medium","2802"
"Bacardi Breezer - Tropical","Finland","49","400","Medium","3041"
"Squid Ink","Mexico","47","331","Medium","3334"
"Rum - White, Gg White","Poland","17","103","High","3725"
"Dawn Professionl Pot And Pan","Peru","2","173","High","3954"
"Flour - Corn, Fine","Sweden","64","274","Low","3274"
"Cheese - Romano, Grated","United States","3","112","High","3940"
"Cup - 8oz Coffee Perforated","Thailand","57","336","Medium","3067"
"Pork Loin Cutlets","Philippines","58","397","Medium","3487"
"Pepper - Jalapeno","Kazakhstan","81","259","Low","3353"
"Squid U5 - Thailand","China","29","131","High","3177"
"Soup - Campbells Mac N Cheese","Sweden","49","385","Medium","3216"
"Beer - Corona","Indonesia","44","339","High","3414"
"Wine - Bouchard La Vignee Pinot","China","69","220","Low","3084"
"Calypso - Black Cherry Lemonade","Russia","31","361","Medium","2772"
"Dried Apple","Indonesia","36","348","Medium","2604"
"Coffee - Frthy Coffee Crisp","Argentina","41","324","Medium","2828"
"Veal Inside - Provimi","Philippines","9","200","Medium","3549"
"Nori Sea Weed","Russia","6","125","High","3365"
"Soupcontfoam16oz 116con","Tanzania","10","116","High","3324"
"Lentils - Green, Dry","Cyprus","40","353","High","2837"
"Cloves - Ground","China","52","304","Medium","3304"
"Ecolab Crystal Fusion","Brazil","84","209","Medium","3081"
"Sobe - Lizard Fuel","Poland","15","191","High","3884"
"Bread - Olive","Norway","1","169","Low","3774"
"Tea Leaves - Oolong","Russia","86","238","High","3300"
"Pasta - Canelloni","China","30","332","Medium","2815"
"Extract - Raspberry","Netherlands","79","275","Medium","3480"
"Cookies Almond Hazelnut","Brazil","75","238","Low","3345"
"Rice Pilaf, Dry,package","United Kingdom","60","331","Medium","2840"
"Mix - Cocktail Strawberry Daiquiri","Honduras","1","178","High","3300"
"Island Oasis - Strawberry","Gambia","44","371","Medium","2623"
"Tuna - Salad Premix","Tanzania","31","383","Medium","3125"
"Lemon Pepper","Finland","89","260","Low","3414"
"Cheese - Brie,danish","Poland","46","366","Medium","2938"
"Sauce - Cranberry","Brazil","5","123","High","3357"
"Paste - Black Olive","China","44","358","Medium","2603"
"Pineapple - Canned, Rings","China","8","138","High","3705"
"Sterno - Chafing Dish Fuel","Russia","26","150","High","3365"
"Chicken - Base, Ultimate","United Kingdom","36","140","Low","3060"
"Turkey Tenderloin Frozen","Philippines","87","225","Low","3345"
"Banana - Green","Cyprus","37","381","Medium","2541"
"White Baguette","Iran","16","144","High","3613"
"Pears - Fiorelle","Indonesia","75","221","Low","3316"
"Pastry - Raisin Muffin - Mini","Nigeria","17","151","High","3686"
"Beef Tenderloin Aaa","Yemen","13","155","High","3275"
"Beef Flat Iron Steak","Colombia","67","241","Low","3458"
"Beer - Fruli","American Samoa","7","197","Medium","3605"
"Venison - Ground","Macedonia","54","307","Low","2689"
"Wine - Sauvignon Blanc","Uganda","60","298","Low","3073"
"Nut - Hazelnut, Ground, Natural","Philippines","17","100","Medium","3603"
"Beans - Long, Chinese","Greece","45","338","Medium","2780"
"Heavy Duty Dust Pan","Ukraine","57","312","Medium","3096"
"Cheese - Mascarpone","China","80","238","Low","3089"
"Pop Shoppe Cream Soda","Thailand","70","229","Low","3020"
"Juice - Apple Cider","Thailand","37","341","Medium","2764"
"Pork - Hock And Feet Attached","Russia","62","292","Low","3300"
"Muffin - Zero Transfat","Nicaragua","16","194","High","3085"
"Icecream - Dstk Super Cone","San Marino","24","115","High","3419"
"Pasta - Penne, Rigate, Dry","France","73","287","Low","3124"
"Bread - Roll, Italian","Russia","53","335","High","3161"
"Mustard - Seed","France","79","354","Medium","3253"
"Daves Island Stinger","China","57","338","Medium","3301"
"Mountain Dew","Japan","85","288","Low","3451"
"Cleaner - Bleach","Indonesia","15","196","High","3363"
"Oil - Truffle, Black","Egypt","14","154","Medium","3271"
"Squash - Pattypan, Yellow","Suriname","11","141","High","3185"
"Beer - Muskoka Cream Ale","China","66","243","Medium","3396"
"Tea - Decaf 1 Cup","China","51","331","High","3463"
"Milk - Skim","Russia","22","182","Medium","3653"
"Sauce - Roasted Red Pepper","Vietnam","55","331","Low","3343"
"Onion Powder","China","90","270","Low","3416"
"Chocolate - Mi - Amere Semi","China","56","320","Medium","2950"
"Bread - Crumbs, Bulk","Nigeria","23","174","High","3946"
"Shrimp - Black Tiger 8 - 12","Mozambique","67","207","Low","3224"
"Dehydrated Kelp Kombo","Russia","41","377","Medium","2622"
"Chestnuts - Whole,canned","Russia","14","179","High","3301"
"Shrimp - 21/25, Peel And Deviened","China","89","256","Medium","3472"
"Juice - Apple, 341 Ml","Indonesia","15","195","High","3712"
"Barramundi","Bolivia","65","314","Medium","3070"
"Red Snapper - Fresh, Whole","Serbia","99","230","Low","3280"
"Numi - Assorted Teas","France","57","340","Medium","2887"
"Shrimp - Black Tiger 8 - 12","Central African Republic","90","216","Low","3086"
"Chips Potato Salt Vinegar 43g","Philippines","36","365","Medium","3482"
"Eel - Smoked","China","64","382","Medium","3137"
"Carbonated Water - Peach","China","53","358","High","3432"
"Orange - Tangerine","Iran","17","103","High","3245"
"Wine - Riesling Dr. Pauly","France","14","114","High","3199"
"Wine - Magnotta - Bel Paese White","Ireland","28","138","Medium","3398"
"Plate Pie Foil","Portugal","57","343","Medium","2996"
"Carrots - Mini Red Organic","Croatia","68","259","Low","3472"
"Lemonade - Kiwi, 591 Ml","Brazil","38","322","High","2848"
"Crackers - Melba Toast","Canada","37","398","Medium","3139"
"Sloe Gin - Mcguinness","Russia","52","365","Medium","2589"
"Dry Ice","China","38","350","Medium","2589"
"Wine - Sawmill Creek Autumn","Tanzania","55","387","Medium","3108"
"Mushrooms - Honey","China","70","289","Low","3320"
"Bouillion - Fish","Panama","70","294","Low","3280"
"Silicone Parch. 16.3x24.3","China","58","361","Medium","2546"
"Danishes - Mini Cheese","Peru","58","396","Medium","3070"
"Fish - Soup Base, Bouillon","China","72","230","Low","3227"
